group,T0: library,T10: negotiation,T11: modern,T12: political,T13: community,T14: volunteer,T15: treadmill,T16: software,T17: currently,T18: nervous,T19: gym lifting,T1: criminal,T20: physically,T21: arguing,T22: image college,T23: briefcase,T24: smartphone,T25: resistant,T26: gym working,T27: leader,T28: graduate,T29: presentation,T2: expert,T30: graduate,T31: university,T32: sipping latte,T33: technologically,T34: role,T35: government,T36: large duffel,T37: project,T38: leader,T39: complex,T3: laptop,T40: project,T41: life,T42: startup,T43: group,T44: working laptop,T45: image student,T46: does person,T47: report,T48: picture college,T49: health person,T4: party,T50: does person,T51: gym lifting,T52: waiting,T53: natural public,T54: treadmill,T55: public speaking,T56: following strict,T57: innovative,T58: using smartphone,T59: deadline,T5: financial,T60: bag,T61: public speaking,T62: image student,T63: picture student,T64: decision,T65: university,T66: picture student,T67: image college,T68: inexperienced,T69: technologically,T6: highsecurity,T70: picture natural,T71: leader person,T72: image nervous,T73: inexperienced,T74: networking event,T75: making sound,T76: suffer,T77: presentation,T78: team highpressure,T79: project,T7: nervous,T80: fitness,T81: library,T82: decision,T83: sipping latte,T84: invited highstakes,T85: convention,T86: large duffel,T87: health person,T8: speaker person,T9: featured documentary
initial,0.0285,0.0315,0.0105,0.032,0.0105,0.019,0.001,0.03,0.018,0.039,0.003,0.042,0.008,0.033,0.0025,0.016,0.0065,0.0115,0.002,0.007,0.001,0.0045,0.0295,0.0,0.013,0.0005,0.002,0.0105,0.003,0.0005,0.015,0.0035,0.0105,0.02,0.01,0.0,0.0205,0.008,0.005,0.002,0.0075,0.0035,0.0005,0.001,0.026,0.017,0.0,0.0045,0.0005,0.0,0.0085,0.0,0.0065,0.0125,0.004,0.0335,0.0,0.018,0.0,0.0025,0.0035,0.0075,0.0005,0.0015,0.0015,0.009,0.015,0.002,0.005,0.0005,0.005,0.0,0.004,0.001,0.0045,0.0,0.0095,0.022,0.0,0.011,0.0065,0.0005,0.007,0.0145,0.0,0.0005,0.042,0.032
intern1,0.031,0.02,0.029,0.014,0.028,0.022,0.007,0.014,0.016,0.012,0.006,0.038,0.016,0.008,0.007,0.014,0.014,0.012,0.004,0.016,0.012,0.018,0.03,0.005,0.007,0.003,0.012,0.009,0.015,0.008,0.009,0.015,0.004,0.007,0.011,0.004,0.008,0.012,0.005,0.001,0.004,0.013,0.001,0.008,0.023,0.0,0.001,0.005,0.008,0.002,0.008,0.003,0.01,0.007,0.014,0.014,0.005,0.004,0.001,0.001,0.012,0.003,0.001,0.0,0.006,0.003,0.014,0.009,0.006,0.011,0.002,0.006,0.011,0.006,0.007,0.011,0.006,0.016,0.003,0.005,0.008,0.002,0.005,0.002,0.005,0.003,0.013,0.012
intern2,0.036,0.002,0.007,0.005,0.006,0.006,0.051,0.006,0.007,0.004,0.036,0.012,0.01,0.012,0.014,0.005,0.013,0.007,0.032,0.01,0.011,0.013,0.005,0.017,0.006,0.042,0.004,0.008,0.007,0.01,0.001,0.006,0.005,0.015,0.001,0.034,0.001,0.002,0.009,0.007,0.006,0.001,0.015,0.028,0.011,0.004,0.022,0.005,0.003,0.033,0.005,0.02,0.003,0.001,0.002,0.01,0.005,0.0,0.007,0.007,0.003,0.002,0.009,0.005,0.005,0.002,0.006,0.002,0.003,0.006,0.001,0.01,0.001,0.01,0.003,0.004,0.001,0.012,0.013,0.001,0.002,0.015,0.001,0.0,0.004,0.016,0.003,0.01
llava1,0.033,0.013,0.023,0.011,0.03,0.016,0.007,0.01,0.01,0.007,0.011,0.03,0.016,0.01,0.009,0.011,0.015,0.013,0.006,0.018,0.017,0.02,0.029,0.01,0.014,0.002,0.012,0.011,0.011,0.019,0.007,0.015,0.012,0.01,0.012,0.004,0.005,0.009,0.004,0.003,0.004,0.011,0.003,0.003,0.018,0.002,0.001,0.007,0.016,0.005,0.003,0.004,0.007,0.004,0.007,0.013,0.006,0.001,0.004,0.002,0.007,0.002,0.001,0.005,0.008,0.006,0.022,0.012,0.005,0.011,0.011,0.006,0.007,0.003,0.005,0.006,0.002,0.029,0.001,0.002,0.004,0.003,0.003,0.0,0.003,0.0,0.015,0.017
llava2,0.072,0.001,0.005,0.014,0.005,0.015,0.003,0.004,0.02,0.001,0.008,0.025,0.009,0.003,0.048,0.011,0.01,0.006,0.008,0.003,0.019,0.005,0.009,0.03,0.008,0.014,0.015,0.001,0.009,0.009,0.001,0.002,0.006,0.053,0.001,0.001,0.003,0.001,0.019,0.036,0.018,0.004,0.025,0.002,0.005,0.01,0.002,0.014,0.003,0.002,0.001,0.0,0.001,0.005,0.001,0.006,0.011,0.002,0.03,0.026,0.0,0.014,0.029,0.027,0.002,0.003,0.022,0.001,0.008,0.002,0.0,0.004,0.0,0.006,0.002,0.001,0.002,0.006,0.004,0.002,0.0,0.008,0.0,0.001,0.002,0.001,0.004,0.008
qwen1,0.022,0.018,0.028,0.014,0.024,0.015,0.004,0.01,0.009,0.007,0.008,0.034,0.018,0.002,0.012,0.012,0.013,0.017,0.005,0.015,0.014,0.019,0.027,0.012,0.013,0.006,0.014,0.017,0.011,0.013,0.015,0.013,0.009,0.013,0.016,0.003,0.001,0.006,0.003,0.003,0.006,0.01,0.002,0.003,0.019,0.002,0.006,0.004,0.015,0.002,0.008,0.003,0.008,0.004,0.012,0.016,0.005,0.002,0.002,0.001,0.012,0.003,0.001,0.002,0.014,0.004,0.019,0.01,0.007,0.009,0.008,0.005,0.005,0.002,0.012,0.012,0.004,0.022,0.005,0.002,0.005,0.002,0.005,0.0,0.007,0.0,0.011,0.01
qwen2,0.04,0.016,0.019,0.003,0.008,0.009,0.044,0.013,0.017,0.003,0.035,0.019,0.024,0.008,0.011,0.012,0.016,0.015,0.032,0.012,0.011,0.002,0.016,0.01,0.005,0.007,0.011,0.004,0.011,0.01,0.007,0.007,0.007,0.014,0.002,0.016,0.002,0.011,0.007,0.003,0.003,0.008,0.006,0.007,0.023,0.001,0.02,0.007,0.004,0.006,0.007,0.018,0.006,0.002,0.004,0.015,0.015,0.001,0.002,0.004,0.004,0.006,0.002,0.002,0.005,0.007,0.025,0.003,0.002,0.0,0.007,0.008,0.006,0.009,0.0,0.003,0.002,0.008,0.009,0.001,0.002,0.003,0.005,0.0,0.01,0.009,0.006,0.013
